IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Location,X,Y
30203898,FRAUD,"FORGERY, CREDIT CARD",Tuesday,02/18/2003,16:30,NORTHERN,NONE,2800 Block of VAN NESS AV,-122.4246129931,37.8014488258
38261,WARRANTS,WARRANT ARREST,Thursday,04/17/2003,22:45,NORTHERN,"ARREST, BOOKED",POLK ST / SUTTER ST,-122.4201203192,37.7877570602
30203901,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,02/18/2003,16:05,NORTHERN,NONE,VAN NESS AV / MCALLISTER ST,-122.4202504826,37.7800745746
30203923,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,02/18/2003,17:00,BAYVIEW,"ARREST, BOOKED",1600 Block of KIRKWOOD AV,-122.3907180762,37.7385560585
30203923,OTHER OFFENSES,CONSPIRACY,Tuesday,02/18/2003,17:00,BAYVIEW,"ARREST, BOOKED",1600 Block of KIRKWOOD AV,-122.3907180762,37.7385560585
30203923,OTHER OFFENSES,PROBATION VIOLATION,Tuesday,02/18/2003,17:00,BAYVIEW,"ARREST, BOOKED",1600 Block of KIRKWOOD AV,-122.3907180762,37.7385560585
324684,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,03/31/2003,22:08,NORTHERN,"ARREST, BOOKED",POST ST / FILLMORE ST,-122.4330841668,37.7851499161
324684,WARRANTS,WARRANT ARREST,Monday,03/31/2003,22:08,NORTHERN,"ARREST, BOOKED",POST ST / FILLMORE ST,-122.4330841668,37.7851499161
335471,WARRANTS,WARRANT ARREST,Saturday,02/22/2003,17:35,MISSION,"ARREST, BOOKED",25TH ST / GUERRERO ST,-122.4227278735,37.7503729275
454598,WARRANTS,WARRANT ARREST,Tuesday,04/01/2003,15:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4036751741,37.7751775072
474320,WARRANTS,WARRANT ARREST,Wednesday,04/16/2003,00:40,TENDERLOIN,"ARREST, BOOKED",100 Block of TURK ST,-122.4114513909,37.7831610224
522662,VEHICLE THEFT,STOLEN TRUCK,Monday,03/17/2003,15:38,,NONE,OUT OF TOWN,0,0
522662,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Monday,03/17/2003,15:38,,NONE,OUT OF TOWN,0,0
644777,WARRANTS,WARRANT ARREST,Thursday,03/06/2003,19:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4036751741,37.7751775072
668705,WARRANTS,WARRANT ARREST,Friday,03/28/2003,10:00,BAYVIEW,"ARREST, BOOKED",1200 Block of PALOU AV,-122.3839634389,37.7299972589
728547,WARRANTS,WARRANT ARREST,Tuesday,03/18/2003,16:40,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4036751741,37.7751775072
767244,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,06/29/2003,07:50,NORTHERN,"ARREST, BOOKED",600 Block of EDDY ST,-122.4182161406,37.7832571723
767244,DRUG/NARCOTIC,VISITING WHERE DRUGS ARE USED OR SMOKED,Sunday,06/29/2003,07:50,NORTHERN,"ARREST, BOOKED",600 Block of EDDY ST,-122.4182161406,37.7832571723
767244,OTHER OFFENSES,CONSPIRACY,Sunday,06/29/2003,07:50,NORTHERN,"ARREST, BOOKED",600 Block of EDDY ST,-122.4182161406,37.7832571723
793045,WARRANTS,WARRANT ARREST,Monday,05/19/2003,06:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4036751741,37.7751775072
805991,WARRANTS,WARRANT ARREST,Tuesday,04/29/2003,13:40,NORTHERN,"ARREST, BOOKED",800 Block of VAN NESS AV,-122.4208998611,37.7830998599
810207,"SEX OFFENSES, FORCIBLE","ATTEMPTED RAPE, BODILY FORCE",Wednesday,07/09/2003,21:15,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4037429632,37.7752317022
810207,"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY,Wednesday,07/09/2003,21:15,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4037429632,37.7752317022
810207,KIDNAPPING,FALSE IMPRISONMENT,Wednesday,07/09/2003,21:15,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4037429632,37.7752317022
839564,WARRANTS,WARRANT ARREST,Wednesday,03/26/2003,12:20,,"ARREST, BOOKED",OUT OF TOWN,0,0
30203923,WARRANTS,WARRANT ARREST,Tuesday,02/18/2003,17:00,BAYVIEW,"ARREST, BOOKED",1600 Block of KIRKWOOD AV,-122.3907180762,37.7385560585
30203939,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,02/18/2003,16:30,SOUTHERN,"ARREST, CITED",400 Block of 10TH ST,-122.4104994803,37.7709080121
1240708,WARRANTS,WARRANT ARREST,Tuesday,05/06/2003,15:10,TENDERLOIN,"ARREST, BOOKED",300 Block of EDDY ST,-122.413954401,37.7837266691
1294664,WARRANTS,WARRANT ARREST,Wednesday,01/01/2003,19:45,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.4107687664,37.783214519
1302057,WARRANTS,WARRANT ARREST,Friday,04/11/2003,17:26,TARAVAL,"ARREST, BOOKED",RANDOLPH ST / HEAD ST,-122.4643990802,37.7142937892
30203951,NON-CRIMINAL,LOST PROPERTY,Tuesday,02/11/2003,13:30,NORTHERN,NONE,600 Block of POLK ST,-122.4189759907,37.7822802428
30203973,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,02/15/2003,10:00,RICHMOND,NONE,400 Block of 17TH AV,-122.4760761577,37.7798003502
1525936,WARRANTS,WARRANT ARREST,Wednesday,02/19/2003,07:15,SOUTHERN,"ARREST, BOOKED",200 Block of 6TH ST,-122.4067362275,37.7793521642
1532000,WARRANTS,WARRANT ARREST,Thursday,02/27/2003,07:50,INGLESIDE,"ARREST, BOOKED",0 Block of NANTUCKET AV,-122.4409901498,37.7280912994
30203989,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Tuesday,02/18/2003,18:06,INGLESIDE,NONE,5100 Block of MISSION ST,-122.4404867313,37.717089261
3027732,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Friday,03/07/2003,16:34,CENTRAL,"ARREST, BOOKED",200 Block of GEARY ST,-122.407810337,37.7873789358
3032800,ASSAULT,BATTERY,Thursday,04/10/2003,10:16,PARK,"ARREST, BOOKED",300 Block of WOODSIDE AV,-122.4521920368,37.745667866
3059315,WARRANTS,WARRANT ARREST,Tuesday,05/20/2003,07:45,,"ARREST, BOOKED",OUT OF TOWN,0,0
3070690,NON-CRIMINAL,FOUND PROPERTY,Wednesday,06/11/2003,14:25,BAYVIEW,NONE,1600 Block of PALOU AV,-122.392096198,37.7346106239
10013576,WARRANTS,WARRANT ARREST,Wednesday,03/05/2003,07:50,TARAVAL,"ARREST, BOOKED",0 Block of BORICA ST,-122.4685670466,37.7218120474
10050142,WARRANTS,WARRANT ARREST,Friday,05/09/2003,19:45,TENDERLOIN,"ARREST, BOOKED",0 Block of MCALLISTER ST,-122.4134301433,37.780924484
10085149,WARRANTS,WARRANT ARREST,Saturday,01/11/2003,23:55,TENDERLOIN,"ARREST, BOOKED",MARKET ST / 8TH ST,-122.4147438354,37.7787192628
10168585,WARRANTS,WARRANT ARREST,Thursday,02/27/2003,19:26,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.4119856039,37.7850007126
10284802,WARRANTS,WARRANT ARREST,Tuesday,04/01/2003,20:12,TENDERLOIN,"ARREST, BOOKED",500 Block of EDDY ST,-122.4159163075,37.7835460531
10347892,WARRANTS,WARRANT ARREST,Tuesday,01/07/2003,08:45,INGLESIDE,"ARREST, BOOKED",300 Block of EDINBURGH ST,-122.4301505336,37.7237516946
30204078,LARCENY/THEFT,PETTY THEFT AUTO STRIP,Monday,02/17/2003,15:00,RICHMOND,NONE,SPRUCE ST / ANZA ST,-122.4528980674,37.7803623691
10413114,WARRANTS,WARRANT ARREST,Tuesday,04/01/2003,23:21,CENTRAL,"ARREST, BOOKED",600 Block of PACIFIC AV,-122.4062921544,37.796937853
10434104,WARRANTS,WARRANT ARREST,Thursday,03/13/2003,04:54,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / GOLDEN GATE AV,-122.4171468438,37.7814463501
10480260,WARRANTS,WARRANT ARREST,Saturday,03/15/2003,03:50,,"ARREST, BOOKED",UNKNOWN,0,0
10497538,VEHICLE THEFT,STOLEN MOTORCYCLE,Thursday,04/03/2003,20:20,,NONE,OUT OF TOWN,0,0
10497538,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Thursday,04/03/2003,20:20,,NONE,OUT OF TOWN,0,0
10505147,WARRANTS,WARRANT ARREST,Thursday,01/30/2003,07:15,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.4101203858,37.7832742527
10541113,WARRANTS,WARRANT ARREST,Wednesday,04/16/2003,00:55,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.4107687664,37.783214519
20910188,WARRANTS,WARRANT ARREST,Monday,01/27/2003,11:15,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4036751741,37.7751775072
20941923,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,02/06/2003,12:00,RICHMOND,NONE,4100 Block of GEARY BL,-122.463649338,37.7810158001
20957174,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,03/31/2003,13:51,PARK,NONE,400 Block of STANYAN ST,-122.4544166462,37.7738144424
20959750,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,02/26/2003,07:09,BAYVIEW,NONE,2200 Block of NEWCOMB AV,-122.4011289115,37.7416238982
20993548,NON-CRIMINAL,LOCATED PROPERTY,Tuesday,04/08/2003,12:00,,NONE,UNKNOWN,0,0
20996025,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,01/06/2003,08:13,TARAVAL,"ARREST, CITED",JUNIPERO SERRA BL / HOLLOWAY AV,-122.4723219126,37.7216221727
